prem_name,points,competition_level
Arsenal,67.0,18.64848320160798
Aston Villa,26.0,16.60651492701867
Brighton and Hove Albion,39.0,19.31765811445592
Burnley,47.0,19.450999611320228
Chelsea,70.2,18.64848320160798
Crystal Palace,43.8,18.64848320160798
Everton,52.0,18.64848320160798
Fulham,26.0,21.007454817153288
Leeds United,0,0
Leicester City,57.2,18.64848320160798
Liverpool,81.4,18.64848320160798
Manchester City,84.6,18.64848320160798
Manchester United,69.6,18.64848320160798
Newcastle United,42.5,18.347847976531686
Sheffield United,54.0,17.774612291278345
Southampton,47.2,18.64848320160798
Tottenham Hotspur,72.6,18.64848320160798
West Bromwich Albion,39.666666666666664,18.153449633202758
West Ham United,48.0,18.64848320160798
Wolverhampton Wanderers,58.0,19.391033554215817
