prem_name,spotrac_name,prem_index 
Arsenal,Arsenal F.C.,1
Aston Villa,Aston Villa F.C.,2
Brighton and Hove Albion,Brighton & Hove Albion,131
Burnley,Burnley F.C.,43
Chelsea,Chelsea F.C.,4
Crystal Palace,Crystal Palace,6
Everton,Everton F.C.,7
Fulham,Fulham F.C.,34
Leeds United,Leeds United F.C.,9
Leicester City,Leicester City,26
Liverpool,Liverpool F.C.,10
Manchester City,Manchester City F.C.,11
Manchester United,Manchester United F.C.,12
Newcastle United,Newcastle United F.C.,23
Sheffield United,Sheffield United F.C.,18
Southampton,Southampton F.C.,20
Tottenham Hotspur,Tottenham Hotspur F.C.,21
West Bromwich Albion,West Bromwich Albion F.C.,36
West Ham United,West Ham United F.C.,25
Wolverhampton Wanderers,Wolverhampton Wanderers F.C.,38
